,House 2 BR,House 3 BR,Unit 1 BR,Unit 2 BR,Unit 3 BR,House 4 BR,House 5 BR,House 1 BR
Balwyn North,1688000.0,1910000.0,,660000.0,1215000.0,2313000.0,2960000.0,
Bulleen,,1210000.0,,653000.0,,1520000.0,1900000.0,
Templestowe,,1250000.0,,676000.0,928000.0,1595000.0,2265000.0,
Templestowe Lower,,1250000.0,,770000.0,990000.0,1408000.0,1868000.0,
Doncaster,850000.0,1245000.0,394000.0,560000.0,885000.0,1498000.0,1768000.0,
Doncaster East,939000.0,1390000.0,395000.0,590000.0,1004999.0,1615000.0,1880000.0,
Donvale,,1200000.0,,663000.0,996000.0,1620000.0,2003000.0,
North Warrandyte,,,,,,1500000.0,,
Warrandyte,,1250000.0,,,,1468000.0,1700000.0,
Park Orchards,,,,,,1910000.0,2615000.0,
Wonga Park,,1185000.0,,,,1750000.0,2612000.0,
Chirnside Park,,764000.0,,,,990000.0,1125000.0,
Burnley,,,,,,,,
Cremorne,1251000.0,1293000.0,450000.0,650000.0,,,,
Richmond,1115000.0,1518000.0,393000.0,643000.0,1174000.0,2195000.0,,
Hawthorn,1540000.0,2009999.0,408000.0,625000.0,1514000.0,3575000.0,4635000.0,
Hawthorn East,1197000.0,1890000.0,408000.0,650000.0,1238000.0,2800000.0,4059999.0,
Camberwell,1345000.0,2025999.0,401000.0,666000.0,1525000.0,2700000.0,3765000.0,
Burwood,901000.0,1260000.0,130000.0,520000.0,955000.0,1505000.0,1678000.0,
Canterbury,2049999.0,2163000.0,,908000.0,1405000.0,3158000.0,4498000.0,
Mont Albert,799000.0,1710000.0,,703000.0,1130000.0,2660000.0,3065000.0,
Surrey Hills,1171000.0,1830000.0,,765000.0,1300000.0,2350000.0,3213000.0,
Box Hill,691000.0,1140000.0,348000.0,595000.0,841000.0,1735000.0,,
Box Hill South,870000.0,1338000.0,,585000.0,1000999.0,1620000.0,2155000.0,
Box Hill North,998000.0,1300000.0,,712000.0,960000.0,1455000.0,1800000.0,
Mont Albert North,,1500000.0,,729000.0,1160000.0,1793000.0,,
Blackburn,815000.0,1430000.0,363000.0,598000.0,1040000.0,1655000.0,2100000.0,
Blackburn North,,1173000.0,,,1068000.0,1430000.0,,
Blackburn South,1020999.0,1252000.0,,618000.0,,1424000.0,1910000.0,
Forest Hill,880000.0,1092000.0,,573000.0,880000.0,1343000.0,1875000.0,
Nunawading,875000.0,1089000.0,,620000.0,953000.0,1310000.0,1550000.0,
Mitcham,766000.0,1026000.0,310000.0,635000.0,942000.0,1334000.0,1653000.0,
Vermont,894000.0,1101000.0,,,980000.0,1300000.0,1543000.0,
Vermont South,,1368000.0,,600000.0,935000.0,1489000.0,1635000.0,
Ringwood,696000.0,950000.0,400000.0,545000.0,787000.0,1154000.0,1255000.0,
Ringwood North,,1064000.0,,,,1275000.0,1485000.0,
Warrandyte South,,,,,,,,
Warranwood,,,,,,1338000.0,1465000.0,
Heathmont,750000.0,960000.0,,644000.0,,1160000.0,1280000.0,
Ringwood East,718000.0,953000.0,,655000.0,893000.0,1148000.0,,
Croydon,690000.0,833000.0,400000.0,575000.0,765000.0,1070000.0,1270000.0,
Croydon Hills,,995000.0,,,,1239000.0,,
Croydon North,,850000.0,,,725000.0,1132000.0,1373000.0,
Croydon South,,855000.0,,,,1080000.0,,
Kilsyth,659000.0,775000.0,,649000.0,780000.0,960000.0,,
Kilsyth South,,945000.0,,,,1268000.0,,
Mooroolbark,613000.0,771000.0,,595000.0,729000.0,940000.0,1215000.0,
Don Valley,,,,,,,,
Hoddles Creek,,,,,,,,
Launching Place,,655000.0,,,,850000.0,,
Seville,,779000.0,,,,1111000.0,,
Seville East,,,,,,,,
Wandin East,,,,,,,,
Wandin North,,785000.0,,,,958000.0,,
Woori Yallock,,673000.0,,,,964000.0,,
Yellingbo,,,,,,,,
Lilydale,610000.0,775000.0,,580000.0,691000.0,1056000.0,1201000.0,
South Yarra,1374000.0,2135000.0,370000.0,658000.0,1305000.0,4179999.0,,
Toorak,,3600000.0,451000.0,855000.0,1850000.0,5800000.0,9500000.0,
Armadale,1673000.0,2290000.0,420000.0,725000.0,1300000.0,3500000.0,,
Kooyong,,,,,,,,
Malvern,1510000.0,2267000.0,385000.0,690000.0,1701000.0,3650000.0,,
Caulfield East,,,,,,,,
Malvern East,1265000.0,1708000.0,311000.0,590000.0,1270000.0,2340000.0,3343000.0,
Glen Iris,1202000.0,1900000.0,375000.0,619000.0,1270000.0,2560000.0,3350000.0,
Ashburton,,1730000.0,,,,2172000.0,2748000.0,
Ashwood,,1311000.0,,680000.0,1175000.0,1585000.0,,
Chadstone,1100000.0,1106000.0,338000.0,540000.0,950000.0,1255000.0,,
Mount Waverley,1301000.0,1410000.0,,739000.0,1108000.0,1601000.0,2037999.0,
Glen Waverley,1477000.0,1456000.0,443000.0,730000.0,1089000.0,1650000.0,2210000.0,
Wheelers Hill,,1298000.0,,,,1426000.0,1754000.0,
Burwood East,,1200000.0,,623000.0,,1380000.0,1716000.0,
Wantirna,620000.0,935000.0,,,793000.0,1155000.0,1420000.0,
Wantirna South,720000.0,1030000.0,353000.0,514000.0,776000.0,1291000.0,1591000.0,
Bayswater,670000.0,837000.0,,580000.0,805000.0,964000.0,,
Bayswater North,695000.0,838000.0,,595000.0,669000.0,916000.0,,
The Basin,,835000.0,,,,928000.0,1130000.0,
Boronia,628000.0,788000.0,,602000.0,720000.0,945000.0,1038000.0,
Ferntree Gully,670000.0,816000.0,,586000.0,750000.0,961000.0,1132000.0,
Lysterfield,,930000.0,,,,1310000.0,1588000.0,
Lysterfield South,,,,,,,,
Upper Ferntree Gully,,835000.0,,,,945000.0,,
Upwey,,817000.0,,,,990000.0,,
Menzies Creek,,,,,,,,
Selby,,,,,,,,
Belgrave,,773000.0,,,,973000.0,,
Belgrave Heights,,,,,,,,
Belgrave South,,,,,,,,
Tecoma,,810000.0,,,,1034999.0,,
Caulfield North,1360000.0,1715000.0,400000.0,613000.0,1180000.0,2500000.0,2665000.0,
Caulfield,,1525000.0,370000.0,630000.0,,2336000.0,,
Caulfield South,1200000.0,1545000.0,315000.0,638000.0,1200000.0,1900000.0,,
Carnegie,985000.0,1380000.0,374000.0,605000.0,878000.0,1835000.0,,
Glen Huntly,,1500000.0,290000.0,590000.0,870000.0,,,
Murrumbeena,1060000.0,1450000.0,327000.0,595000.0,1024999.0,1862000.0,,
Bentleigh East,1020000.0,1355000.0,388000.0,550000.0,1004999.0,1575000.0,1830000.0,
Hughesdale,950000.0,1317000.0,,580000.0,956000.0,1595000.0,,
Huntingdale,,,,,,,,
Oakleigh,1178000.0,1290000.0,365000.0,555000.0,905000.0,1570000.0,,
Oakleigh East,,994000.0,,546000.0,870000.0,1085000.0,,
Oakleigh South,925000.0,1124000.0,,500000.0,1014000.0,1224000.0,,
Clayton,749000.0,1000000.0,320000.0,541000.0,812000.0,1107000.0,1302000.0,
Notting Hill,,,333000.0,425000.0,,,,
Clarinda,,950000.0,,,812000.0,1088000.0,,
Clayton South,670000.0,898000.0,315000.0,454000.0,800000.0,1002999.0,,
Mulgrave,830000.0,996000.0,,,750000.0,1183000.0,1390000.0,
Springvale,670000.0,825000.0,,480000.0,700000.0,890000.0,,
Dingley Village,,990000.0,,653000.0,803000.0,1143000.0,1438000.0,
Springvale South,630000.0,800000.0,,500000.0,645000.0,896000.0,,
Keysborough,675000.0,835000.0,,570000.0,686000.0,1067000.0,1380000.0,
Noble Park,561000.0,750000.0,258000.0,455000.0,620000.0,833000.0,,
Noble Park North,,756000.0,,,,847000.0,,
Bangholme,,,,,,,,
Dandenong,501000.0,660000.0,270000.0,345000.0,575000.0,800000.0,958000.0,
Dandenong North,546000.0,721000.0,,530000.0,628000.0,849000.0,885000.0,
Doveton,515000.0,612000.0,,485000.0,550000.0,653000.0,,
Eumemmerring,,620000.0,,,,705000.0,,
Rowville,695000.0,925000.0,,423000.0,728000.0,1138000.0,1324000.0,
Scoresby,,908000.0,,,,1032999.0,,
Knoxfield,,885000.0,,,,1000000.0,,
Prahran,1285000.0,1735000.0,385000.0,626000.0,1383000.0,2950000.0,,
Windsor,1231000.0,1703000.0,369000.0,648000.0,,1863000.0,,
St Kilda,1160000.0,1493000.0,375000.0,610000.0,1280000.0,2565000.0,,
St Kilda West,,1585000.0,432000.0,745000.0,,,,
Balaclava,1302000.0,1435000.0,373000.0,580000.0,,,,
St Kilda East,1163000.0,1535000.0,353000.0,605000.0,830000.0,2100000.0,,
Elwood,1380000.0,1780000.0,414000.0,710000.0,1240000.0,2780000.0,,
Elsternwick,1251000.0,1770000.0,407000.0,700000.0,1113000.0,2438000.0,,
Gardenvale,,,284000.0,,,,,
Ripponlea,,,,654000.0,,,,
Brighton,1202000.0,2113000.0,470000.0,875000.0,1905000.0,3228000.0,4723000.0,
Brighton East,1053000.0,1768000.0,,860000.0,1275000.0,2273000.0,3103000.0,
Hampton,1100000.0,1851000.0,460000.0,810000.0,1390000.0,2400000.0,3613000.0,
Hampton East,1108000.0,1375000.0,,691000.0,,1579000.0,,
Moorabbin,900000.0,1223000.0,,560000.0,860000.0,1533000.0,,
Highett,727000.0,1310000.0,423000.0,600000.0,914000.0,1695000.0,1780000.0,
Sandringham,1378000.0,1833000.0,365000.0,678000.0,1375000.0,2318000.0,2988000.0,
Cheltenham,800000.0,1100000.0,410000.0,600000.0,823000.0,1390000.0,,
Beaumaris,1240000.0,1668000.0,,715000.0,1283000.0,2155000.0,2320000.0,
Black Rock,,1800000.0,,875000.0,1210000.0,2590000.0,,
Mentone,750000.0,1210000.0,360000.0,605000.0,823000.0,1450000.0,1825000.0,
Aspendale,910000.0,1200000.0,,743000.0,,1450000.0,,
Aspendale Gardens,,1050000.0,,,,1170000.0,,
Parkdale,835000.0,1265000.0,,710000.0,918000.0,1695000.0,2370000.0,
Waterways,,,,,,1530000.0,,
Bonbeach,655000.0,965000.0,,595000.0,925000.0,1348000.0,,
Chelsea,726000.0,980000.0,,613000.0,850000.0,1360000.0,,
Chelsea Heights,,890000.0,,,,1146000.0,,
Edithvale,808000.0,1090000.0,,625000.0,999000.0,1450000.0,,
Carrum,736000.0,951000.0,,673000.0,,,,
Patterson Lakes,664000.0,906000.0,,489000.0,,1660000.0,2049999.0,
Seaford,700000.0,827000.0,,551000.0,700000.0,973000.0,984000.0,
Frankston,580000.0,704000.0,225000.0,470000.0,626000.0,805000.0,970000.0,
Frankston South,,905000.0,,,781000.0,1300000.0,1580000.0,
Frankston North,,593000.0,,,,615000.0,,
Carrum Downs,530000.0,665000.0,,481000.0,593000.0,770000.0,795000.0,
Heatherton,,1075000.0,,,,1305000.0,,
Bentleigh,1154000.0,1465000.0,,600000.0,1014999.0,1718000.0,2285000.0,
Mckinnon,,1400000.0,,699000.0,1100000.0,1970000.0,,
Ormond,1100000.0,1520000.0,300000.0,570000.0,1002999.0,1835000.0,,
South Melbourne,1250000.0,1730000.0,442000.0,661000.0,1034000.0,2460000.0,,
Albert Park,1513000.0,2413000.0,,1500000.0,,3750000.0,,
Middle Park,,2450000.0,577000.0,1180000.0,,3375000.0,,
Port Melbourne,1313000.0,1726000.0,460000.0,768000.0,1470000.0,2400000.0,,
Little River,,,,,,,,
Lara,438000.0,626000.0,,458000.0,,745000.0,870000.0,
Corio,443000.0,482000.0,,,,560000.0,,
Norlane,415000.0,468000.0,,410000.0,,531000.0,,
North Shore,,,,,,,,
Bell Park,498000.0,606000.0,,,,717000.0,,
Bell Post Hill,,623000.0,,,,775000.0,,
Drumcondra,,,,,,,,
Hamlyn Heights,475000.0,673000.0,,,,845000.0,,
North Geelong,508000.0,620000.0,,,,921000.0,,
Rippleside,,1055000.0,,,,,,
Belmont,623000.0,690000.0,,485000.0,659000.0,693000.0,900000.0,
Grovedale,497000.0,630000.0,,480000.0,,740000.0,,
Highton,649000.0,750000.0,,498000.0,676000.0,985000.0,1115000.0,
Marshall,,580000.0,,,,,,
Wandana Heights,,,,,,993000.0,,
Waurn Ponds,,750000.0,,,,822000.0,,
Geelong West,638000.0,859000.0,,490000.0,,1265000.0,,
Herne Hill,575000.0,669000.0,337000.0,,,,,
Manifold Heights,,865000.0,,,,1380000.0,,
Breakwater,,520000.0,,,,,,
East Geelong,688000.0,780000.0,,,,,,
Newcomb,,559000.0,,463000.0,,,,
St Albans Park,,570000.0,,,,711000.0,,
Thomson,505000.0,545000.0,,,,,,
Whittington,,500000.0,,403000.0,,,,
Geelong,,880000.0,515000.0,625000.0,1140000.0,1103000.0,,
Newtown,715000.0,1020000.0,,510000.0,,1553000.0,1835000.0,
South Geelong,,831000.0,,,,,,
Ceres,,,,,,,,
Gnarwarre,,,,,,,,
Clifton Springs,,630000.0,,,,760000.0,,
Curlewis,,633000.0,,,,663000.0,,
Drysdale,,635000.0,,,,842000.0,,
Marcus Hill,,,,,,,,
Indented Head,,830000.0,,,,950000.0,,
Portarlington,705000.0,849000.0,,,,1133000.0,,
St Leonards,640000.0,730000.0,,,,763000.0,,
Leopold,495000.0,603000.0,,465000.0,,735000.0,895000.0,
Point Lonsdale,,1210000.0,,,,1260000.0,,
Queenscliff,,1478000.0,,,,,,
Swan Bay,,,,,,,,
Ocean Grove,750000.0,900000.0,,725000.0,1028000.0,1040000.0,1270000.0,
Barwon Heads,,1465000.0,,,,1728000.0,,
Breamlea,,,,,,,,
Connewarre,,,,,,,,
Bellbrae,,,,,,,,
Bells Beach,,,,,,,,
Jan Juc,,1260000.0,,,,1305000.0,,
Torquay,936000.0,1170000.0,,,1130000.0,1290000.0,1630000.0,
Anglesea,,1398000.0,,,,2051000.0,,
Aireys Inlet,,,,,,,,
Big Hill,,,,,,,,
Eastern View,,,,,,,,
Fairhaven,,,,,,,,
Moggs Creek,,,,,,,,
Lorne,,1910000.0,,,,2375000.0,,
Apollo Bay,,900000.0,,,,1024999.0,,
Cape Otway,,,,,,,,
Marengo,,,,,,,,
Skenes Creek,,,,,,,,
Deans Marsh,,,,,,,,
Forrest,,,,,,,,
Beech Forest,,,,,,,,
Wyelangta,,,,,,,,
Johanna,,,,,,,,
Lavers Hill,,,,,,,,
Carlisle River,,,,,,,,
Gellibrand,,,,,,,,
Gherang,,,,,,,,
